# hist, value,Bin
dg_10000 (1).png,0.238746091,24
dg_10000 (1).png,0.238746091,25
dg_10000 (1).png,0.238746091,26
dg_10000 (1).png,0.209409702,27
dg_10000 (1).png,0.238746091,28
dg_10000 (1).png,0.236765297,29
dg_10000 (1).png,0.201097783,30
dg_10000 (1).png,0.137750695,31
dg_10000 (1).png,0.097989664,32
dg_10000 (1).png,0.106357673,33
dg_10000 (1).png,0.125137023,34
dg_10000 (1).png,0.083836843,35
dg_10000 (1).png,0.015402617,36
dg_10000.png,0.240260426,1
dg_10000.png,0.172976954,2
dg_10000.png,0.120349576,3
dg_10000.png,0.079162184,4
dg_10000.png,0.082749685,5
dg_10000.png,0.090192449,6
dg_10000.png,0.047923267,7
dg_10000.png,0.0609321,8
dg_10000.png,0.040615289,9
dg_10000.png,0.075649939,10
dg_10000.png,0.069736167,11
dg_10000.png,0.068119474,12
dg_10000.png,0.072444291,13
dg_10000.png,0.048703451,14
dg_10000.png,0.054938443,15
dg_10000.png,0.056205846,16
dg_10000.png,0.079897027,17
dg_10000.png,0.03069095,18
dg_10000.png,0.240260426,19
dg_10000.png,0.112444286,20
dg_10000.png,0.12952698,21
dg_10000.png,0.119952181,22
dg_10000.png,0.137683237,23
dg_10000.png,0.234985833,24
dg_10000.png,0.240260426,25
dg_10000.png,0.240260426,26
dg_10000.png,0.240260426,27
dg_10000.png,0.240260426,28
dg_10000.png,0.235360629,29
dg_10000.png,0.240260426,30
dg_10000.png,0.229670955,31
dg_10000.png,0.197084331,32
dg_10000.png,0.240260426,33
dg_10000.png,0.240260426,34
dg_10000.png,0.240260426,35
dg_10000.png,0.219355914,36
p_10000 (1).png,0.226482368,1
p_10000 (1).png,0.046257266,2
p_10000 (1).png,0.037161194,3
p_10000 (1).png,0.054410943,4
p_10000 (1).png,0.063114239,5
p_10000 (1).png,0.048840465,6
p_10000 (1).png,0.046872783,7
p_10000 (1).png,0.053206112,8
p_10000 (1).png,0.013297951,9
p_10000 (1).png,0.114939151,10
p_10000 (1).png,0.105735692,11
p_10000 (1).png,0.167893958,12
p_10000 (1).png,0.188893876,13
p_10000 (1).png,0.181428749,14
p_10000 (1).png,0.236083555,15
p_10000 (1).png,0.236083555,16
p_10000 (1).png,0.236083555,17
p_10000 (1).png,0.203164924,18
p_10000 (1).png,0.236083555,19
p_10000 (1).png,0.236083555,20
p_10000 (1).png,0.236083555,21
p_10000 (1).png,0.236083555,22
p_10000 (1).png,0.236083555,23
p_10000 (1).png,0.236083555,24
p_10000 (1).png,0.236083555,25
p_10000 (1).png,0.236083555,26
p_10000 (1).png,0.218187951,27
p_10000 (1).png,0.236083555,28
p_10000 (1).png,0.138771248,29
p_10000 (1).png,0.08601446,30
p_10000 (1).png,0.079560621,31
p_10000 (1).png,0.060670382,32
p_10000 (1).png,0.060443803,33
p_10000 (1).png,0.085386261,34
p_10000 (1).png,0.060919245,35
p_10000 (1).png,0.021088807,36
p_10000.png,0.226548734,1
p_10000.png,0.226548734,2
p_10000.png,0.226548734,3
p_10000.png,0.226548734,4
p_10000.png,0.225429574,5
p_10000.png,0.215022466,6
p_10000.png,0.209683851,7
p_10000.png,0.157439817,8
p_10000.png,0.13182008,9
p_10000.png,0.195127329,10
p_10000.png,0.135697871,11
p_10000.png,0.140748255,12
p_10000.png,0.110159396,13
p_10000.png,0.089222133,14
