# hist, value
Present L,0.22946800395624461
Present L,0.1789126684861081
Present L,0.14210169194481137
Present L,0.06653166385600694
Present L,0.15529782445509183
Present L,0.08634660980761175
Present L,0.036406430535341
Present L,0.08179899814900769
Present L,0.0471679450792722
Present L,0.04788762583248106
Present L,0.06754546143826866
Present L,0.023800751149595303
Present L,0.06725477030739968
Present L,0.007371740622213063
Present L,0.035904919579381994
Present L,0.0
Present L,0.0696301086842835
Present L,0.01386315588635823
Present L,0.0
Present L,0.03627033542720903
Present L,0.029229949348579864
Present L,0.010567464690877926
Present L,0.010297293572545925
Present L,0.03016045796842379
Present L,0.059765802722216176
Present L,0.05334051710364671
Present L,0.016210331432280328
Present L,0.029476642506060396
Present L,0.03217998746327953
Present L,0.06962049099642449
Present L,0.07674089312864318
Present L,0.0
Present L,0.22946800395624461
Present L,0.07907913853880656
Present L,0.07433324918484835
Present L,0.009937021633024744
Present L,0.06968953570207452
Present L,0.08548573560672024
Present L,0.08629303167357444
Present L,0.013475297426602667
Present L,0.09820060309091877
Present L,0.10684785873951003
Present L,0.13067454923286553
Present L,0.14232216966548555
Present L,0.14041295676590226
Present L,0.18596300195594262
Present L,0.22946800395624461
Present L,0.15517647217951963
Present L,0.22946800395624461
Present L,0.17389151704568348
Present L,0.2124621230268969
Present L,0.09456078536795652
Present L,0.12182213768740222
Present L,0.12960875502042293
Present L,0.2265604740015965
Present L,0.1824243790356708
Present L,0.21616384992455023
Present L,0.141087738892679
Present L,0.143449808720259
Present L,0.17752044115564156
Present L,0.06549538747486404
Present L,0.22946800395624461
Present L,0.22946800395624461
Present L,0.22946800395624461
Present L,0.22498516427933968
Present L,0.052559313528035105
Present L,0.08086716732618775
Present L,0.035353571338798816
Present L,0.049305793351999326
Present L,0.058130919789578774
Present L,0.029587508329952956
Present L,0.03675126470378927
Present L,0.03968552011264721
Present L,0.02847480958418333
Present L,0.016464239139295296
Present L,0.043884030609740596
Present L,0.01127561877255962
Present L,0.021953594536946546
Present L,0.07921437278196533
Present L,0.007973066467157829
Present L,0.03984659847479361
Present L,0.06710213567592958
Present L,0.05967222345713871
Present L,0.0
Present L,0.03152148868552396
Present L,0.03487235925390613
Present L,0.010951849576910134
Present L,0.03332045478455569
Present L,0.030105921292213324
Present L,0.017037079281832925
Present L,0.01628109363908434
Present L,0.037086430673652866
Present L,0.028829304683817693
Present L,0.05468414024596113
Present L,0.009807868430676086
Present L,0.014701608383147706
Present L,0.11222076284841426
Present L,0.011307486178544534
Present L,0.05869273947724297
Present L,0.08359135443691389
Present L,0.09792281739730191
Present L,0.00867895203186604
Present L,0.10719104731454221
Present L,0.05458352385788237
Present L,0.09101390448096729
Present L,0.09879203752965808
Present L,0.19350262040368063
Present L,0.22498516427933968
Present L,0.22498516427933968
Present L,0.15195377218113074
Present L,0.22498516427933968
Present L,0.22498516427933968
Present L,0.22498516427933968
Present L,0.2032239935444462
Present L,0.1741169834330003
Present L,0.1257255822185772
Present L,0.17504246444714824
Present L,0.20243889560943104
Present L,0.18860672858879737
Present L,0.12786864103837786
Present L,0.20112012667343382
Present L,0.22498516427933968
Present L,0.14164127205859428
Present L,0.2082230105430127
Present L,0.22498516427933968
Present L,0.2107621671357396
Present L,0.22498516427933968
Present L,0.09557128222421664
Present L,0.22739138073707726
Present L,0.08177992749660495
Present L,0.09462614432827686
Present L,0.08355598709327948
Present L,0.11719151607722071
Present L,0.0403017337673284
Present L,0.04491363530068934
Present L,0.039773562663901904
Present L,0.01602780717920832
Present L,0.028080891610960952
Present L,0.06594809041283396
Present L,0.07912668586064064
Present L,0.010095440316327248
Present L,0.032993658610558765
Present L,0.06613740976632629
Present L,0.0
Present L,0.04315168325564257
Present L,0.03787132477571726
Present L,0.009623998620826323
Present L,0.03744895074598343
Present L,0.021652832026511883
Present L,0.0323159141241953
Present L,0.02703118375145488
Present L,0.008937651069132625
Present L,0.005013497459382716
Present L,0.061423624003342205
Present L,0.04997659321308425
Present L,0.007258135844872527
Present L,0.0708089029311902
Present L,0.09280979773931107
Present L,0.07413174913558283
Present L,0.0
Present L,0.05281069458994366
Present L,0.06125453558385179
Present L,0.04556315921893127
Present L,0.04293562704515282
Present L,0.09395188915886646
Present L,0.0609374039439097
Present L,0.10076715636021781
Present L,0.0943777989569145
Present L,0.1574261549520022
Present L,0.21573043889662916
Present L,0.08458674279743203
Present L,0.2217217682483128
Present L,0.13172901057415012
Present L,0.22739138073707726
Present L,0.1472898012331163
Present L,0.0688990360900432
Present L,0.22739138073707726
Present L,0.18102766529812725
Present L,0.18852884969297332
Present L,0.22739138073707726
Present L,0.22739138073707726
Present L,0.22739138073707726
Present L,0.16008317281038556
Present L,0.19042660092615646
Present L,0.22739138073707726
Present L,0.18113407716924704
Present L,0.19353416419860098
Present L,0.19020376554937027
Present L,0.14278056540521922
Present L,0.22739138073707726
Present L,0.12831199379852
Present L,0.0892622417090878
Present L,0.2372224947568509
Present L,0.1002232697321757
Present L,0.05914525761453175
Present L,0.16441082802030413
Present L,0.10248326787112301
Present L,0.08700142735036494
Present L,0.04156955287911475
Present L,0.024096963361423234
Present L,0.03524340327430449
Present L,0.020545502628502535
Present L,0.013137816779506395
Present L,0.039640661921112263
Present L,0.02961888319499456
Present L,0.03608008222270093
Present L,0.057027542274234636
Present L,0.0
Present L,0.03580692523557129
Present L,0.04941925502973636
Present L,0.023916354762980725
Present L,0.014984131979413716
Present L,0.013573801966900981
Present L,0.015616827552817302
Present L,0.041091270665644455
Present L,0.006089996821095097
Present L,0.02962192945236307
Present L,0.017485717342033823
Present L,0.04499154173188949
Present L,0.05108367618189548
Present L,0.01685351000168702
Present L,0.02015601941152263
Present L,0.01109180237540472
Present L,0.0
Present L,0.023819252833532742
Present L,0.031581207718914074
Present L,0.06732655022750124
Present L,0.014266807692282668
Present L,0.08867880202865541
Present L,0.049961358117672196
Present L,0.0764052607540574
Present L,0.045654904877442136
Present L,0.05467938489245754
Present L,0.0741994852040049
Present L,0.1314287578507898
Present L,0.13230162744589452
Present L,0.07921884585624783
Present L,0.166092251170676
Present L,0.12725147939148254
Present L,0.21092509438150295
Present L,0.2372224947568509
Present L,0.22945551360603078
Present L,0.13420398150128113
Present L,0.2372224947568509
Present L,0.20403427799308588
Present L,0.2293116700461281
Present L,0.14895770709112166
Present L,0.2372224947568509
Present L,0.2372224947568509
Present L,0.2372224947568509
Present L,0.1921823482454642
Present L,0.2080587919931486
Present L,0.1270044116774725
Present L,0.2372224947568509
Present L,0.14629630017237535
Present L,0.2361375524283234
Present L,0.15588297079534078
Present L,0.20551212828383764
Present L,0.08737235702182365
Present L,0.15010339867223405
Present L,0.1002272438462572
Present L,0.08741640942550749
Present L,0.08863778983213219
Present L,0.03923223749439242
Present L,0.02691889184540161
Present L,0.05706671871872327
Present L,0.059482831869695676
Present L,0.0583183942837956
Present L,0.028146997475272773
Present L,0.046647185709307544
Present L,0.007034806918838159
Present L,0.044778367427670475
Present L,0.07321834796317211
Present L,0.06454574160768992
Present L,0.0331615084940528
Present L,0.04686867492269999
Present L,0.07356413936582279
Present L,0.054095957268218475
Present L,0.05448893723948469
Present L,0.01943389246821687
Present L,0.09487866064983924
Present L,0.012072713167979402
Present L,0.03210686102986972
Present L,0.07306467588151758
Present L,0.0031806346182237854
Present L,0.039045988743000644
Present L,0.06449446238916341
Present L,0.044997080842909064
Present L,0.21408237134883057
Present L,0.1059614974121362
Present L,0.2066526599168653
Present L,0.13952728629783423
Present L,0.08741430566269613
Present L,0.07384011214017197
Present L,0.10055077529564245
Present L,0.07584127268607078
Present L,0.18440852383112236
Present L,0.10149428369760218
Present L,0.1669610059138137
Present L,0.14058718342940302
Present L,0.21408237134883057
Present L,0.2079605575691065
Present L,0.09716774938143413
Present L,0.1246525729023725
Present L,0.1952882500856982
Present L,0.1684069532609067
Present L,0.16391816623791375
Present L,0.05920716589408981
Present L,0.1672935562722883
Present L,0.16695112991617156
Present L,0.1400929452633769
Present L,0.18471728998225762
Present L,0.17481396290285403
Present L,0.21408237134883057
Present L,0.16745050087387162
Present L,0.21408237134883057
Present L,0.062074648173985864
Present L,0.21408237134883057
Present L,0.21408237134883057
Present L,0.07795704934661728
Present L,0.17891840933320316
Present L,0.07529691976133654
Present L,0.07469931041442177
Present L,0.08969923011259569
Present L,0.12480211378688008
Present L,0.07240490488945651
Present L,0.07095606863851157
Present L,0.055134126840696476
Present L,0.04357551480677304
Present L,0.06224550656591229
Present L,0.08907425912646937
Present L,0.04448624539088972
Present L,0.036849216148540725
Present L,0.058851278465672605
Present L,0.029971585744042382
Present L,0.10146019112785683
Present L,0.04117512235585615
Present L,0.038629514115852887
Present L,0.0675417874925313
Present L,0.07665091678587893
Present L,0.09733594641112443
Present L,0.07627839536182242
Present L,0.07407787298292706
Present L,0.06421111409316915
Present L,0.06839657752068791
Present L,0.05974256710694174
Present L,0.049432729050225346
Present L,0.05751953248598615
Present L,0.01992739756471067
Present L,0.04424259768177953
Present L,0.08226907644841722
Present L,0.025950987034921314
Present L,0.12651369471234314
Present L,0.03977785776801085
Present L,0.12097894566645748
Present L,0.019312772205586304
Present L,0.13559181546211746
Present L,0.09668434316665891
Present L,0.10208539866994175
Present L,0.19686040998624524
Present L,0.14808608023604602
Present L,0.2136106060803466
Present L,0.2136106060803466
Present L,0.2136106060803466
Present L,0.209231912074158
Present L,0.2136106060803466
Present L,0.2136106060803466
Present L,0.0584171933533901
Present L,0.2136106060803466
Present L,0.10918203800198721
Present L,0.17351440673693608
Present L,0.2136106060803466
Present L,0.2136106060803466
Present L,0.1595075637377178
Present L,0.09490490025057212
Present L,0.12632856996174108
Present L,0.07754702525480456
Present L,0.11464353355269268
Present L,0.18297207166578788
Present L,0.2136106060803466
Present L,0.1271947196041597
Present L,0.1567481384806338
Present L,0.2136106060803466
Present L,0.07095978453836127
Present L,0.19007440348185223
Present L,0.12481150981236185
Present L,0.1635401502681821
Present L,0.09616471904236419
Present L,0.09294863787931484
Present L,0.10701207656150008
Present L,0.05005130294584667
Present L,0.07133957656886235
Present L,0.0660536773898513
Present L,0.06230289125187213
Present L,0.025222847752293005
Present L,0.06353203679438153
Present L,0.013218041587838323
Present L,0.035444799977153774
Present L,0.061722490296961884
Present L,0.012680680951441495
Present L,0.03078855133481686
Present L,0.014167636725888564
Present L,0.018958212708123624
Present L,0.015777907252156546
Present L,0.04534302384947774
Present L,0.014675244890977669
Present L,0.05887458135841883
Present L,0.025691837328873063
Present L,0.031771603991403406
Present L,0.03239234190400724
Present L,0.02708692176486363
Present L,0.009944502380650455
Present L,0.00985174621919955
Present L,0.035643570335165776
Present L,0.04006882532170804
Present L,0.012302695777580834
Present L,0.052761828208461065
Present L,0.0
Present L,0.04034520014175467
Present L,0.07326398787775475
Present L,0.058781853816579605
Present L,0.04249552512536874
Present L,0.09556101695361216
Present L,0.10396191282722314
Present L,0.07223844702266342
Present L,0.11545246749922777
Present L,0.06239282838157268
Present L,0.18614105761090946
Present L,0.18274299387706536
Present L,0.1735926171526812
Present L,0.1528958107344249
Present L,0.08767481617643222
Present L,0.1427633138758014
Present L,0.22896822158628222
Present L,0.22896822158628222
Present L,0.22896822158628222
Present L,0.14965357124630116
Present L,0.22896822158628222
Present L,0.22896822158628222
Present L,0.22896822158628222
Present L,0.22896822158628222
Present L,0.22896822158628222
Present L,0.14690909358436516
