# hist, value
Present L,0.22444888343830433
Present L,0.07582255621441278
Present L,0.19318197902538617
Present L,0.12906705426801954
Present L,0.22152986690126683
Present L,0.22444888343830433
Present L,0.22444888343830433
Present L,0.14663734226999137
Present L,0.15616023619567482
Present L,0.22444888343830433
Present L,0.16050384045785912
Present L,0.1954085266139811
Present L,0.10257542420898043
Present L,0.1188752133656293
Present L,0.22121623920074168
Present L,0.10270764964752184
Present L,0.22444888343830433
Present L,0.14595821981677867
Present L,0.08428297009427495
Present L,0.15659762835633168
Present L,0.08157179104381963
Present L,0.0988628458497572
Present L,0.02945444655263467
Present L,0.06937879632694519
Present L,0.10397479616120141
Present L,0.07124253242206817
Present L,0.07227250669910615
Present L,0.050657167097336614
Present L,0.05770364276066453
Present L,0.07241094196611794
Present L,0.01951582865564843
Present L,0.0
Present L,0.22444888343830433
Present L,0.1598697549424418
Present L,0.021908140680603698
Present L,0.06225541915144851
Present L,0.16269084307817003
Present L,0.05993004398966588
Present L,0.12307011628073794
Present L,0.0760282750774439
Present L,0.07272643052433289
Present L,0.03447490120957899
Present L,0.042238490094909896
Present L,0.1191691731245793
Present L,0.09717655333808692
Present L,0.16003444433273978
Present L,0.12200906498333013
Present L,0.10642725326723683
Present L,0.07464201276310489
Present L,0.04717004175301202
Present L,0.09610202998856546
Present L,0.022009482502523946
Present L,0.1295544874706713
Present L,0.08345146639563374
Present L,0.12417478273703209
Present L,0.02378860532879746
Present L,0.0893629861363012
Present L,0.09987283158801505
Present L,0.036493095462458366
Present L,0.1548928318103304
Present L,0.06065529759287362
Present L,0.07231418433575372
Present L,0.11331322124294041
Present L,0.019471352762961736
Present L,0.2226061912778503
Present L,0.12082625116274241
Present L,0.2226061912778503
Present L,0.1450552161345691
Present L,0.2226061912778503
Present L,0.10292179070667748
Present L,0.06494916661311205
Present L,0.10033695951059102
Present L,0.10036921771692654
Present L,0.1649369823921252
Present L,0.10356553277788819
Present L,0.08596066864599018
Present L,0.10432791253189926
Present L,0.15649514534677805
Present L,0.1355133567893412
Present L,0.06380256575853029
Present L,0.12377982717118342
Present L,0.10198975391027122
Present L,0.13487304095711225
Present L,0.08647037159121072
Present L,0.1469240132801526
Present L,0.11475316772255212
Present L,0.09784462845089796
Present L,0.07235556430016178
Present L,0.08424766558070823
Present L,0.07341649254797156
Present L,0.022323867988487473
Present L,0.10355616051737257
Present L,0.050796687325491856
Present L,0.1449888369123546
Present L,0.04657237167023563
Present L,0.04914482848864041
Present L,0.19112020089734252
Present L,0.20315614600232454
Present L,0.06391066692485033
Present L,0.0805936648678049
Present L,0.12892115656284459
Present L,0.0862346596550483
Present L,0.09770635642286477
Present L,0.1351552649190634
Present L,0.1299302088913141
Present L,0.1605578830644225
Present L,0.04475552528901874
Present L,0.07110220117361934
Present L,0.08968844992259775
Present L,0.12594057813213713
