# hist, value
Present L,0.23197110945906904
Present L,0.05726075965813044
Present L,0.10540020134841045
Present L,0.05628757889725144
Present L,0.19036273207022014
Present L,0.023078779560285825
Present L,0.07669540077207844
Present L,0.09684865944217615
Present L,0.06389673725249202
Present L,0.12050604642696071
Present L,0.1177810709151279
Present L,0.22652524770582486
Present L,0.07389141168761011
Present L,0.11066668293022626
Present L,0.16060358559975488
Present L,0.07740960818253456
Present L,0.23197110945906904
Present L,0.13823259567305393
Present L,0.15919641328814157
Present L,0.14207134886667633
Present L,0.23197110945906904
Present L,0.10146633662774635
Present L,0.17012619361123435
Present L,0.18317088052204805
Present L,0.23197110945906904
Present L,0.11879804682156815
Present L,0.047685480852225244
Present L,0.23077599338869254
Present L,0.028924575297060894
Present L,0.10696343746009904
Present L,0.13361151584787748
Present L,0.0
Present L,0.23197110945906904
Present L,0.0762315789220628
Present L,0.10853958293549988
Present L,0.037004528699210844
Present L,0.13964057989433468
Present L,0.04615755912057165
Present L,0.07518585403239833
Present L,0.10538863532614796
Present L,0.051825301222028615
Present L,0.18430337641217054
Present L,0.048957481275705816
Present L,0.11478802497409847
Present L,0.013635176817820277
Present L,0.041850455835288417
Present L,0.041606698410133
Present L,0.02580285828098594
Present L,0.10535563488866516
Present L,0.08202240652910316
Present L,0.23197110945906904
Present L,0.03869712785441152
Present L,0.20671023798417826
Present L,0.11285675759115782
Present L,0.10987315194526158
Present L,0.06244575134282503
Present L,0.0933239971939001
Present L,0.04009912239664568
Present L,0.023078779560285825
Present L,0.0553725308685609
Present L,0.037004528699210844
Present L,0.12938306077587944
Present L,0.01908661418975203
Present L,0.0
Present L,0.21089940013670497
Present L,0.029166180381658576
Present L,0.05716064654281437
Present L,0.02539630567636051
Present L,0.06760140953856895
Present L,0.027568486911599886
Present L,0.21089940013670497
Present L,0.1625808905928436
Present L,0.06622635972281223
Present L,0.17183619225138427
Present L,0.07566692160848036
Present L,0.21089940013670497
Present L,0.06998912877956874
Present L,0.12785695258203572
Present L,0.05242119279878902
Present L,0.028956244817804705
Present L,0.1512819287923145
Present L,0.18247129619492033
Present L,0.177777664123904
Present L,0.10805675167422821
Present L,0.1758149988457584
Present L,0.07156469836792569
Present L,0.19484922221474274
Present L,0.1614149309793362
Present L,0.1383136145240403
Present L,0.1323551862347543
Present L,0.17139830108830964
Present L,0.21089940013670497
Present L,0.08965104082503998
Present L,0.1503535311598978
Present L,0.08080949295023228
Present L,0.0
Present L,0.21089940013670497
Present L,0.12042002066084875
Present L,0.12366330732650127
Present L,0.1352310756730254
Present L,0.12204863592138093
Present L,0.14961931462506825
Present L,0.11398581671243531
Present L,0.1613472651624655
Present L,0.17375284526590454
Present L,0.09447233786855495
Present L,0.06976986964572718
Present L,0.1245740107720241
Present L,0.11649842813987081
Present L,0.06392938005942418
Present L,0.1291829714247283
Present L,0.02522412549878713
Present L,0.1269678166165767
Present L,0.1563870152634994
Present L,0.08558191887087746
Present L,0.17221113932640492
Present L,0.21089940013670497
Present L,0.0
Present L,0.05609295176222033
Present L,0.0709178092238677
Present L,0.06939163949363868
Present L,0.059709168931211344
Present L,0.019223728848387762
Present L,0.0973946023074308
Present L,0.059045212704867955
Present L,0.05322519009152175
Present L,0.015898409829650417
Present L,0.0
Present L,0.22733394137694055
Present L,0.037969811827312246
Present L,0.10565570603365466
Present L,0.03542534209881087
Present L,0.22733394137694055
Present L,0.053000184540635334
Present L,0.13951230107755394
Present L,0.06733141386206759
Present L,0.039767136464789875
Present L,0.09766961317764268
Present L,0.15189522075602258
Present L,0.15713715545916004
Present L,0.04806956933195913
Present L,0.1307804394504227
Present L,0.15588668407714334
Present L,0.02781631852225536
Present L,0.19149224272463392
Present L,0.18273003426059323
Present L,0.2065047334490498
Present L,0.10138855837776797
Present L,0.20037261130343287
Present L,0.10565102790195952
Present L,0.20251880252715115
Present L,0.13557148361695903
Present L,0.1784532862648799
Present L,0.16437445570820347
Present L,0.13640305203532785
Present L,0.19886162900510496
Present L,0.1345333180550904
Present L,0.22733394137694055
Present L,0.21754409370466915
Present L,0.0
Present L,0.22733394137694055
Present L,0.0978294357840919
Present L,0.10999250361259116
Present L,0.10484946054554875
Present L,0.16712047833385507
Present L,0.05759936089861062
Present L,0.09853945413719872
Present L,0.16224817027384314
Present L,0.068446470281262
Present L,0.12045919274971312
Present L,0.0606810496432413
Present L,0.204836972719825
Present L,0.04282191239237138
Present L,0.07892459711138354
Present L,0.040272117051628635
Present L,0.0
Present L,0.1348887747051103
Present L,0.08054737319742372
Present L,0.016600641856010876
Present L,0.01777241045215755
Present L,0.10945622700270191
Present L,0.04171874113964309
Present L,0.03906784391507687
Present L,0.011088357752712736
Present L,0.03596179498612633
Present L,0.04143770746298224
Present L,0.05299820819949166
Present L,0.06286933727231497
Present L,0.025134603257659663
Present L,0.08506290252671928
Present L,0.018983560103306138
Present L,0.0
Present L,0.2301731749109479
Present L,0.0
Present L,0.023809916187030107
Present L,0.05785570639532815
Present L,0.07288817625321228
Present L,0.06076034587289322
Present L,0.06597890866200502
Present L,0.03875234716965305
Present L,0.04547899149001725
Present L,0.09952882114839481
Present L,0.1164639022786316
Present L,0.2301731749109479
Present L,0.13469782057890128
Present L,0.2301731749109479
Present L,0.1321722110202294
Present L,0.020678071208680038
Present L,0.2301731749109479
Present L,0.2301731749109479
Present L,0.1825272665117848
Present L,0.01196547006655788
Present L,0.2301731749109479
Present L,0.1551143962497031
Present L,0.2301731749109479
Present L,0.2301731749109479
Present L,0.16119811209029594
Present L,0.2301731749109479
Present L,0.12152071765439021
Present L,0.2301731749109479
Present L,0.09879092468149449
Present L,0.12613151641620118
Present L,0.10604773028370922
Present L,0.0
Present L,0.2301731749109479
Present L,0.1186327503633529
Present L,0.12613070029518236
Present L,0.11434231148719178
Present L,0.14516261654595414
Present L,0.07661970177448608
Present L,0.10116765692573726
