# hist, value
Present L,0.22868327336839792
Present L,0.0
Present L,0.04125902312431087
Present L,0.017798852747359175
Present L,0.08307275166144339
Present L,0.024384791810987662
Present L,0.01233757743210065
Present L,0.021921494184074755
Present L,0.012679825176081237
Present L,0.01744796966671989
Present L,0.007863693534857224
Present L,0.03815761442791252
Present L,0.011905921876350683
Present L,0.01249084585781112
Present L,0.031108506791007576
Present L,0.04763390683872663
Present L,0.13244621158626907
Present L,0.08231546726866046
Present L,0.09949739135355169
Present L,0.08390911098452374
Present L,0.07280585528928447
Present L,0.11264843793756861
Present L,0.13304078602483171
Present L,0.06636407808989338
Present L,0.1077858247942023
Present L,0.12245315701178348
Present L,0.15476410916805222
Present L,0.10909061110529499
Present L,0.043620806435910014
Present L,0.18367517542404982
Present L,0.20634823344520906
Present L,0.02148032102255579
Present L,0.22868327336839792
Present L,0.17402961451798443
Present L,0.21318853739267699
Present L,0.22868327336839792
Present L,0.22868327336839792
Present L,0.22868327336839792
Present L,0.18046610491560264
Present L,0.22868327336839792
Present L,0.20878457701273942
Present L,0.10601089464709884
Present L,0.16248803571974207
Present L,0.22868327336839792
Present L,0.19298821284953305
Present L,0.22868327336839792
Present L,0.08918988107980062
Present L,0.1035373617901213
Present L,0.1365589255084012
Present L,0.07332132754599417
Present L,0.14168012866219568
Present L,0.10557020065876463
Present L,0.028954877673438642
Present L,0.08034200953951792
Present L,0.06630692703602017
Present L,0.04149827815609017
Present L,0.021921494184074755
Present L,0.07403233425556052
Present L,0.045688395579780536
Present L,0.11830114634657647
Present L,0.03960820110301886
Present L,0.07174834505114888
Present L,0.024463312626322637
Present L,0.0
Present L,0.18298692767825592
Present L,0.019818641201590177
Present L,0.013257134276110317
Present L,0.013356791546272251
Present L,0.01349779437722934
Present L,0.025940836418859463
Present L,0.016202352348674405
Present L,0.020390275405490942
Present L,0.0121158904561751
Present L,0.014730163397332635
Present L,0.09079154536099164
Present L,0.01218333155712424
Present L,0.015231012010648201
Present L,0.0360176839966986
Present L,0.04414489095164525
Present L,0.021762369959745096
Present L,0.08335840393730592
Present L,0.0077807110118564915
Present L,0.045841618285911316
Present L,0.0373582679199358
Present L,0.0952189509177356
Present L,0.05047994227084255
Present L,0.09952765563772492
Present L,0.15043456781094652
Present L,0.18026224141784702
Present L,0.20393843997235103
Present L,0.18561826475940116
Present L,0.22410771255412368
Present L,0.22410771255412368
Present L,0.11876059277226259
Present L,0.22410771255412368
Present L,0.10914914477389456
Present L,0.22410771255412368
Present L,0.04474510967766864
Present L,0.12103159411396891
Present L,0.13128838801571724
Present L,0.17547152118261505
Present L,0.22410771255412368
Present L,0.19814372865925217
Present L,0.18746474342783284
Present L,0.22410771255412368
Present L,0.22410771255412368
Present L,0.19303013778529934
Present L,0.22410771255412368
Present L,0.22410771255412368
Present L,0.06882567364510825
Present L,0.17484304002799322
Present L,0.0802693463953138
Present L,0.22157243668488616
Present L,0.11052615764513708
Present L,0.09078451042941577
Present L,0.05990472599465408
Present L,0.1214526402222206
Present L,0.005901150867402993
Present L,0.034370385236906074
Present L,0.02393188968675171
Present L,0.00856722760975013
Present L,0.02384329522141652
Present L,0.02131590573025934
Present L,0.016516235044291786
Present L,0.022984060471792564
Present L,0.018432785244120127
Present L,0.01689844417200018
Present L,0.0
Present L,0.22466704631573586
Present L,0.03772568280311278
Present L,0.05736328295117618
Present L,0.016744105923548743
Present L,0.06569435199157395
Present L,0.034283887962429586
Present L,0.05222907834765299
Present L,0.05435400614447787
Present L,0.020125638617246568
Present L,0.14651669374173196
Present L,0.03574086997252154
Present L,0.12373226762197846
Present L,0.03818726638738521
Present L,0.05102543342570493
Present L,0.047479991751342925
Present L,0.04999784818763754
Present L,0.08045380210900378
Present L,0.07415482628827581
Present L,0.11767346447036667
Present L,0.04074852139689123
Present L,0.11839521303684539
