C = 5000.0 RBF
white{'mean': 8.133609769691871, 'std': 2.393637563755801, 'min': 6.1590819598741575, 'max': 19.89850435054271, 'n': 100}
yellow{'mean': 9.2008426777301, 'std': 7.1179563198298785, 'min': 1.7550042281353058, 'max': 16.567429301070945, 'n': 10}
not_present{'mean': -1.7869847414515447, 'std': 0.5917278597720926, 'min': -2.858629964213705, 'max': -0.2572730798777769, 'n': 56}
C = 1000000.0 RBF
black{'mean': 1.9579801881771985, 'std': 1.827827278796884, 'min': 0.06217669559766392, 'max': 3.9106250867785732, 'n': 10}
blue{'mean': 13.153730710332772, 'std': 8.284296250490817, 'min': 5.620141502864328, 'max': 22.71471940136354, 'n': 9}
dark_blue{'mean': 9.082748191413808, 'std': 4.706079345859387, 'min': 3.8602244406940684, 'max': 13.752457385167176, 'n': 11}
dark_gray{'mean': 3.8403995913654456, 'std': 2.6350160481195237, 'min': 1.1098217024395183, 'max': 6.776748232397864, 'n': 10}
dark_gray2{'mean': 12.193435287695452, 'std': 5.391050407328226, 'min': 6.097182483531228, 'max': 17.47907017988358, 'n': 9}
light_gray{'mean': 8.150005509906146, 'std': 0.3164459401618676, 'min': 7.745372336215382, 'max': 8.83799553397273, 'n': 10}
purple{'mean': 10.766915427188952, 'std': 6.463908418593695, 'min': 4.08229672470452, 'max': 17.565542500800348, 'n': 10}
white{'mean': 8.130585983695694, 'std': 2.393244506492698, 'min': 6.156519559731322, 'max': 19.893790756326297, 'n': 100}
yellow{'mean': 9.203028762245737, 'std': 7.121731137786364, 'min': 1.7533520249823198, 'max': 16.573868800286306, 'n': 10}
not_present{'mean': -1.7870058716950556, 'std': 0.5914956820823432, 'min': -2.857707709409965, 'max': -0.2549549400287958, 'n': 56}
